Organism,Gene A,Gene B,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high,BDPS
E. coli,terD,mcr_1,0.66,0.06,0.65,0.67,16.65,2.73,16.11,17.19,3.17
S. enterica,terW,aac3_VIa,0.54,0.20,0.51,0.58,55.72,30.60,49.64,61.79,3.17
E. coli,pcoS,qnrB1,0.60,0.14,0.57,0.63,21.74,6.36,20.48,23.00,3.15
E. coli,terW,mcr_1_1,0.65,0.07,0.64,0.66,17.08,2.89,16.51,17.65,3.14
E. coli,merT,catA1,0.71,0.05,0.70,0.73,5.33,0.55,5.22,5.44,3.13
S. enterica,terD,aac3_VIa,0.55,0.20,0.51,0.59,56.04,30.61,49.96,62.11,3.11
E. coli,terW,mcr_1,0.66,0.07,0.65,0.68,18.05,2.85,17.49,18.62,3.05
E. coli,terZ,mcr_1,0.66,0.06,0.65,0.67,17.74,3.16,17.11,18.36,3.04
E. coli,merP,catA1,0.69,0.05,0.68,0.70,5.31,0.53,5.20,5.41,3.03
E. coli,pcoB,gyrA_S83A,0.97,0.02,0.96,0.97,44.53,8.24,42.90,46.17,3.02
A. baumannii,merD,aacA16,0.67,0.11,0.65,0.69,12.08,2.82,11.52,12.64,2.96
A. baumannii,merT,aacA16,0.66,0.10,0.64,0.68,11.98,2.76,11.43,12.52,2.93
P. aeruginosa,merC,tmexD3,0.76,0.13,0.74,0.79,44.71,14.26,41.88,47.54,2.91
A. baumannii,merR,aacA16,0.66,0.10,0.64,0.68,11.99,2.75,11.44,12.53,2.89
E. coli,pcoD,gyrA_S83A,0.91,0.05,0.90,0.92,44.64,8.34,42.99,46.29,2.87
E. coli,pcoR,gyrA_S83A,0.91,0.04,0.91,0.92,44.68,8.11,43.07,46.29,2.87
P. aeruginosa,merB,sul2,0.79,0.18,0.76,0.83,106.19,77.93,90.73,121.66,2.84
E. coli,terD,dfrA7,0.54,0.10,0.52,0.56,13.66,3.16,13.03,14.29,2.71
E. coli,merC,catA1,0.62,0.05,0.61,0.63,5.32,0.52,5.21,5.42,2.70
A. baumannii,merD,tetA,0.97,0.01,0.97,0.97,21.14,3.61,20.43,21.86,2.64
S. enterica,terZ,mcr_9_1,0.65,0.17,0.62,0.69,72.67,27.52,67.21,78.13,2.63
A. baumannii,merT,tetA,0.95,0.02,0.94,0.95,21.31,3.63,20.59,22.03,2.61
S. enterica,terD,mcr_9_1,0.66,0.18,0.62,0.69,71.02,24.73,66.12,75.93,2.60
E. coli,terW,dfrA7,0.54,0.10,0.53,0.56,14.54,3.47,13.85,15.23,2.59
S. enterica,terW,mcr_9_1,0.64,0.18,0.61,0.68,68.22,25.05,63.25,73.19,2.59
A. baumannii,merR,tetA,0.95,0.02,0.95,0.95,21.18,3.33,20.52,21.84,2.58
P. aeruginosa,merT,aac6p_Ib,0.72,0.03,0.71,0.73,2.71,0.21,2.67,2.75,2.57
E. coli,terZ,dfrA7,0.54,0.11,0.52,0.56,14.46,3.50,13.76,15.15,2.54
P. aeruginosa,merR,aac6p_Ib,0.70,0.04,0.69,0.71,2.64,0.21,2.60,2.68,2.54
K. pneumoniae,terD,blaDHA_1,0.33,0.12,0.31,0.35,36.60,16.03,33.41,39.78,2.15
E. coli,silF,dfrA7,0.57,0.11,0.55,0.59,22.09,5.46,21.01,23.18,2.06
A. baumannii,merA,tetA,0.98,0.01,0.98,0.98,33.34,7.53,31.85,34.84,2.05
E. coli,silB,dfrA7,0.56,0.11,0.54,0.58,21.91,5.94,20.73,23.08,2.01
A. baumannii,merD,catA1,0.76,0.08,0.74,0.77,16.86,3.37,16.19,17.53,2.00
E. coli,silE,dfrA7,0.56,0.10,0.54,0.58,21.61,5.38,20.55,22.68,1.98
E. coli,silP,dfrA7,0.56,0.11,0.54,0.58,21.72,6.10,20.51,22.93,1.98
E. coli,silA,dfrA7,0.56,0.11,0.54,0.58,21.48,5.76,20.33,22.62,1.97
E. coli,silS,dfrA7,0.55,0.11,0.53,0.57,21.22,5.39,20.15,22.29,1.97
E. coli,silR,dfrA7,0.55,0.10,0.52,0.57,21.25,5.31,20.20,22.31,1.96
A. baumannii,merT,catA1,0.74,0.08,0.73,0.76,16.82,3.38,16.14,17.49,1.95
E. coli,silC,dfrA7,0.56,0.11,0.54,0.58,21.67,5.57,20.57,22.78,1.94
A. baumannii,merR,catA1,0.74,0.09,0.72,0.75,16.62,3.72,15.88,17.36,1.93
K. pneumoniae,terD,armA,0.35,0.10,0.33,0.37,38.54,13.74,35.81,41.26,1.90
E. coli,pcoS,dfrA7,0.56,0.11,0.53,0.58,23.29,6.10,22.08,24.50,1.88
E. coli,pcoA,dfrA7,0.56,0.10,0.54,0.59,24.68,6.31,23.43,25.94,1.86
S. enterica,silB,tetB,0.82,0.04,0.81,0.82,10.84,1.12,10.62,11.06,1.85
S. enterica,silS,tetB,0.82,0.04,0.81,0.82,10.81,1.00,10.61,11.01,1.84
S. enterica,silR,tetB,0.81,0.03,0.81,0.82,10.90,1.16,10.67,11.13,1.84
S. enterica,silF,tetB,0.81,0.03,0.81,0.82,10.77,0.98,10.57,10.96,1.84
S. enterica,silE,tetB,0.82,0.03,0.81,0.82,10.78,0.98,10.59,10.98,1.84
S. enterica,silP,tetB,0.82,0.03,0.81,0.82,10.79,0.96,10.60,10.98,1.84
S. enterica,silC,tetB,0.81,0.04,0.80,0.82,10.76,1.01,10.56,10.96,1.83
A. baumannii,merE,blaADC_176,0.60,0.15,0.57,0.63,28.85,11.01,26.67,31.03,1.82
K. pneumoniae,terB,qnrB4,0.32,0.12,0.30,0.34,41.17,17.49,37.70,44.64,1.80
K. pneumoniae,terC,blaDHA_1,0.32,0.11,0.30,0.34,41.91,17.77,38.38,45.44,1.77
K. pneumoniae,terB,blaDHA_1,0.32,0.11,0.30,0.34,41.22,16.41,37.96,44.47,1.76
E. coli,pcoC,dfrA7,0.55,0.11,0.53,0.58,25.02,6.86,23.66,26.38,1.75
E. coli,pcoB,dfrA7,0.55,0.10,0.53,0.57,25.28,6.30,24.03,26.53,1.75
P. aeruginosa,merC,toprJ1,0.45,0.13,0.42,0.47,26.23,11.56,23.94,28.53,1.74
K. pneumoniae,terC,armA,0.36,0.10,0.34,0.38,49.19,19.37,45.35,53.03,1.70
E. coli,pcoD,dfrA7,0.52,0.11,0.50,0.55,25.40,6.68,24.08,26.73,1.69
K. pneumoniae,terE,blaDHA_1,0.33,0.11,0.30,0.35,45.33,20.12,41.34,49.32,1.69
K. pneumoniae,terC,qnrB4,0.31,0.11,0.28,0.33,39.08,15.86,35.93,42.23,1.69
E. coli,pcoR,dfrA7,0.52,0.10,0.50,0.54,25.33,6.47,24.04,26.61,1.65
K. pneumoniae,terE,armA,0.36,0.10,0.34,0.38,51.08,19.12,47.29,54.88,1.59
A. baumannii,merA,catA1,0.76,0.08,0.74,0.78,26.60,7.16,25.18,28.02,1.56
K. pneumoniae,terB,armA,0.35,0.10,0.33,0.37,46.87,15.72,43.75,49.99,1.56
P. aeruginosa,merT,aac6p,0.71,0.03,0.71,0.72,3.29,0.30,3.23,3.35,1.53
P. aeruginosa,merR,aac6p,0.71,0.03,0.70,0.71,3.27,0.31,3.21,3.33,1.52
E. coli,pcoE,dfrA7,0.56,0.11,0.54,0.58,34.70,9.15,32.88,36.51,1.47
E. coli,terE,dfrA25,0.08,0.08,0.07,0.10,72.26,223.64,27.88,116.63,1.43
P. aeruginosa,merT,qacEdelta1,0.74,0.03,0.73,0.74,3.78,0.39,3.70,3.86,1.38
K. pneumoniae,merE,tetD,0.32,0.17,0.28,0.35,83.48,74.16,68.77,98.20,1.38
K. pneumoniae,merD,tetD,0.25,0.16,0.22,0.28,53.05,42.75,44.57,61.53,1.37
P. aeruginosa,merT,qacE,0.72,0.03,0.71,0.73,3.70,0.39,3.62,3.78,1.34
S. enterica,merR,tetB,0.77,0.04,0.77,0.78,19.62,2.54,19.11,20.12,1.32
S. enterica,merT,tetB,0.78,0.04,0.77,0.78,20.32,2.67,19.79,20.85,1.30
P. aeruginosa,merT,sul1,0.74,0.03,0.73,0.74,4.02,0.44,3.94,4.11,1.30
P. aeruginosa,merR,sul1,0.73,0.03,0.73,0.74,4.03,0.45,3.94,4.12,1.29
K. pneumoniae,terD,msrE,0.47,0.08,0.46,0.49,70.37,32.58,63.91,76.84,1.27
P. aeruginosa,merP,sul1,0.73,0.03,0.72,0.73,4.06,0.43,3.97,4.14,1.27
E. coli,terE,qnrVC4,0.09,0.10,0.07,0.11,44.73,67.48,31.34,58.12,1.24
S. enterica,merC,tetB,0.78,0.04,0.77,0.79,23.41,3.23,22.77,24.05,1.23
P. aeruginosa,merD,sul1,0.66,0.03,0.66,0.67,3.60,0.36,3.53,3.68,1.22
A. baumannii,merE,tetA,0.98,0.01,0.98,0.99,244.01,216.41,201.07,286.95,1.20
K. pneumoniae,terB,msrE,0.48,0.10,0.46,0.50,90.88,35.67,83.80,97.96,1.13
K. pneumoniae,terC,msrE,0.48,0.10,0.46,0.50,91.76,39.23,83.98,99.55,1.10
K. pneumoniae,terE,msrE,0.48,0.10,0.46,0.50,101.44,46.56,92.20,110.68,1.08
A. baumannii,nreB,blaADC,0.99,0.00,0.99,0.99,2.21,1.19,1.98,2.45,1.07
A. baumannii,nreB,amvA,0.99,0.00,0.99,0.99,2.71,2.01,2.32,3.11,1.05
E. coli,ncrY,aac6p_Ibp,0.42,0.18,0.39,0.46,206.61,181.03,170.69,242.53,1.04
A. baumannii,nreB,blaOXA,0.98,0.01,0.98,0.98,2.49,1.59,2.18,2.81,1.03
E. coli,ncrA,aac6p_Ibp,0.41,0.19,0.37,0.45,202.04,202.90,161.78,242.30,0.99
E. coli,ncrB,aac6p_Ibp,0.41,0.20,0.38,0.45,188.45,165.85,155.54,221.36,0.97
S. enterica,merD,parC_S80I,0.56,0.07,0.55,0.58,105.69,40.15,97.72,113.66,0.94
E. coli,terB,qnrVC4,0.05,0.07,0.04,0.06,28.68,51.75,18.41,38.94,0.92
E. coli,terE,cmlA6,0.06,0.07,0.04,0.07,37.04,77.12,21.74,52.34,0.91
S. enterica,merE,parC_S80I,0.55,0.08,0.54,0.57,103.74,40.26,95.75,111.72,0.90
A. baumannii,merE,catA1,0.76,0.09,0.74,0.78,254.19,682.79,118.71,389.67,0.89
E. coli,terB,qacF,0.06,0.09,0.04,0.07,31.56,56.76,20.30,42.82,0.87
E. coli,terE,tetG,0.10,0.13,0.07,0.13,49.43,56.03,38.31,60.55,0.87
E. coli,terB,blaSHV_11,0.09,0.12,0.07,0.12,69.34,153.34,38.92,99.77,0.86
S. enterica,merA,parC_S80I,0.55,0.08,0.54,0.57,126.68,67.16,113.35,140.00,0.84
E. coli,terB,tetG,0.09,0.11,0.07,0.12,65.82,120.60,41.89,89.74,0.84
E. coli,ncrB,blaOXA_9,0.53,0.18,0.50,0.57,547.26,530.32,442.04,652.49,0.81
E. coli,terB,cmlA6,0.05,0.06,0.04,0.07,35.44,50.93,25.33,45.54,0.79
E. coli,ncrC,blaOXA_9,0.52,0.18,0.48,0.55,560.17,566.45,447.78,672.57,0.77
E. coli,terB,aac3_VIa,0.02,0.03,0.01,0.02,13.05,54.02,2.33,23.77,0.72
K. pneumoniae,merT,blaTEM,0.38,0.06,0.37,0.40,52.78,18.18,49.17,56.39,0.65
E. coli,terC,qacF,0.10,0.16,0.07,0.13,57.10,96.99,37.86,76.35,0.65
K. pneumoniae,merR,blaTEM,0.39,0.06,0.37,0.40,52.88,17.80,49.35,56.41,0.65
K. pneumoniae,merP,blaTEM,0.37,0.06,0.36,0.38,51.94,18.05,48.36,55.53,0.63
K. pneumoniae,merC,blaTEM,0.34,0.06,0.33,0.35,54.06,20.99,49.89,58.22,0.58
E. coli,terC,aac3_VIa,0.02,0.02,0.01,0.02,8.47,16.05,5.28,11.65,0.57
E. coli,terC,aadA16,0.06,0.07,0.05,0.07,33.33,48.08,23.79,42.87,0.53
E. coli,terE,aadA16,0.06,0.05,0.05,0.07,29.73,34.18,22.95,36.52,0.46
E. coli,terC,dfrA27,0.04,0.04,0.03,0.05,18.83,25.94,13.68,23.98,0.32
E. coli,terE,blaNDM_1,0.08,0.07,0.07,0.10,76.66,122.61,52.33,100.99,0.31
E. coli,terC,arr_3,0.03,0.03,0.02,0.04,14.83,20.10,10.84,18.82,0.27
E. coli,terC,blaKPC,0.02,0.02,0.02,0.02,12.92,19.77,9.00,16.85,0.14
E. coli,terC,arr,0.01,0.01,0.01,0.02,7.77,8.55,6.08,9.47,0.11
E. coli,terB,arr,0.01,0.01,0.01,0.02,11.19,33.65,4.52,17.87,0.10
K. pneumoniae,merE,blaOXA_2,0.77,0.23,0.73,0.82,209.95,113.32,187.47,232.43,ND
K. pneumoniae,merA,blaOXA_2,0.71,0.22,0.67,0.76,228.96,153.23,198.55,259.36,ND
K. pneumoniae,merD,blaOXA_2,0.62,0.23,0.58,0.67,138.83,75.13,123.93,153.74,ND
K. pneumoniae,merA,tetD,0.30,0.18,0.27,0.34,91.80,81.19,75.69,107.91,ND
S. aureus,mco,vgaE,0.40,0.25,0.35,0.45,11.84,7.72,10.30,13.37,13.85
S. aureus,arsC,dfrE,0.46,0.14,0.44,0.49,10.27,3.12,9.65,10.89,13.22
S. aureus,arsB,ermC,0.54,0.13,0.51,0.56,13.57,3.92,12.79,14.34,6.71
S. aureus,arsR,ermC,0.52,0.14,0.49,0.55,15.11,4.25,14.26,15.95,6.13
S. aureus,mco,ermC,0.58,0.14,0.55,0.60,18.44,4.83,17.48,19.40,5.51
S. aureus,arsC,gyrA_S84A,0.69,0.09,0.67,0.71,16.93,3.05,16.33,17.54,5.19
S. aureus,arsB,gyrA_S84A,0.72,0.10,0.70,0.74,19.35,3.68,18.62,20.08,4.85
S. aureus,arsC,spw,0.81,0.06,0.80,0.82,20.88,2.82,20.32,21.44,4.44
S. aureus,arsR,gyrA_S84A,0.69,0.09,0.67,0.71,21.77,4.35,20.90,22.63,4.23
S. aureus,arsB,spw,0.84,0.07,0.82,0.85,24.24,4.01,23.44,25.04,4.11
S. aureus,mco,gyrA_S84A,0.80,0.11,0.77,0.82,28.47,5.42,27.40,29.55,3.98
S. aureus,cadD,qacA,0.57,0.16,0.54,0.60,46.07,16.68,42.77,49.38,3.81
S. aureus,arsC,tetL,0.75,0.08,0.73,0.76,20.21,3.07,19.60,20.82,3.64
S. aureus,arsC,fexA,0.61,0.09,0.59,0.62,15.58,2.96,14.99,16.16,3.52
S. aureus,arsC,lsaE,0.56,0.10,0.54,0.58,14.02,3.15,13.40,14.65,3.48
S. aureus,arsB,tetL,0.81,0.09,0.79,0.82,23.93,3.74,23.19,24.68,3.37
S. aureus,arsC,lnuB,0.57,0.10,0.56,0.59,14.65,3.24,14.01,15.29,3.29
S. aureus,cadD,qacR,0.61,0.16,0.57,0.64,51.92,18.95,48.16,55.68,3.28
S. aureus,arsB,lsaE,0.58,0.10,0.56,0.60,16.39,3.77,15.64,17.14,3.23
S. aureus,arsB,lnuB,0.60,0.11,0.58,0.62,16.86,4.01,16.06,17.65,3.11
S. aureus,arsR,tetL,0.673,0.082,0.657,0.689,23.03,4.207,22.195,23.865,2.907829502
S. aureus,arsR,fexA,0.565,0.103,0.545,0.586,18.677,4.337,17.817,19.538,2.854560771
S. aureus,arsR,lsaE,0.544,0.092,0.526,0.562,18.049,4.343,17.187,18.91,2.846291862
S. aureus,mco,tetL,0.703,0.085,0.686,0.719,26.834,4.557,25.93,27.738,2.736604918
S. aureus,arsC,glpT_V213I,0.379,0.087,0.362,0.397,9.24,2.097,8.824,9.656,2.704938819
S. aureus,mco,fexA,0.659,0.105,0.638,0.68,25.063,5.373,23.997,26.129,2.642291612
S. aureus,arsR,lnuB,0.556,0.092,0.538,0.575,18.704,4.493,17.812,19.595,2.641209349
S. aureus,mco,lsaE,0.633,0.111,0.611,0.655,23.997,6.04,22.798,25.195,2.637293296
S. aureus,arsB,glpT_V213I,0.386,0.09,0.368,0.404,10.345,2.527,9.844,10.847,2.533374529
